tags_0,row,column,label,symbol,group
,1,1,like,like.png,
like,,,like,,
like,,,likes,,
like,,,liked,,
like,,,liking,,
,1,2,want,want.png,
want,,,want,,
want,,,wants,,
want,,,wanted,,
want,,,wanting,,
,1,3,get,get.png,
get,,,get,,
get,,,gets,,
get,,,got,,
get,,,getting,,
,1,4,make,make.png,
make,,,make,,
make,,,makes,,
make,,,made,,
make,,,making,,
,1,5,good,good.png,
,1,6,more,more.png,
,1,7,,,
,1,8,,,
,1,9,,,
,1,10,people,,people
,2,1,not,not.png,
,2,2,go,go.png,
go,,,go,,
go,,,goes,,
go,,,went,,
go,,,gone,,
go,,,going,,
,2,3,look,look.png,
look,,,look,,
look,,,looks,,
look,,,looked,,
look,,,looking,,
,2,4,turn,turn.png,
turn,,,turn,,
turn,,,turns,,
turn,,,turned,,
turn,,,turning,,
,2,5,help,help.png,
help,,,help,,
help,,,helps,,
help,,,helped,,
help,,,helping,,
,2,6,different,different.png,
,2,7,,,
,2,8,,,
,2,9,,,
,2,10,places,,places
,3,1,I,I.png,
I,,,I,,
I,,,my,,
I,,,mine,,
,3,2,he,he.png,
he,,,he,,
he,,,him,,
he,,,his,,
,3,3,open,open.png,
open,,,open,,
open,,,opens,,
open,,,opened,,
open,,,opening,,
,3,4,do,do.png,
do,,,do,,
do,,,does,,
do,,,did,,
do,,,done,,
,3,5,put,put.png,
put,,,put,,
put,,,puts,,
put,,,putting,,
,3,6,same,same.png,
,3,7,,,
,3,8,,,
,3,9,,,
,3,10,describing,,describing
,4,1,you,you.png,
,4,2,she,she.png,
she,,,she,,
she,,,her,,
she,,,hers,,
,4,3,that,that.png,
,4,4,up,up.png,
,4,5,all,all.png,
,4,6,some,some.png,
,4,7,,,
,4,8,,,
,4,9,,,
,4,10,Delete,,
,5,1,it,it.png,
,5,2,here,here.png,
,5,3,in,in.png,
,5,4,on,on.png,
,5,5,can,can.png,
,5,6,finished,finished.png,
,5,7,,,
,5,8,,,
,5,9,,,
,5,10,Clear,,
,6,1,where,where.png,
,6,2,what,what.png,
,6,3,why,why.png,
,6,4,who,who.png,
,6,5,when,when.png,
,6,6,stop,stop.png,
stop,,,stop,,
stop,,,stops,,
stop,,,stopped,,
stop,,,stopping,,
,6,7,,,
,6,8,,,
,6,9,Morph,,
,6,10,Speak,,
people,1,1,Billy,,
people,1,2,Suzy,,
people,1,3,Zoe,,
people,1,4,Lucy,,
people,1,5,Ivy,,
people,1,6,Teacher,,
places,1,1,home,,
places,1,2,school,,
places,1,3,mall,,
places,1,4,playground,,
places,1,5,grandmas,,
places,1,6,somewhere,,
describing,1,1,red,,
describing,1,2,big,,
describing,1,3,scary,,
