Tags_0,row,column,label,symbol,group,pronounce,morph
,1,1,I,I.png,,,
I,,,I,,,,
I,,,my,,,,
I,,,mine,,,,
,1,2,my,my.png,,,
,1,3,like,like.png,like,,1
like,1,3,like,,,,1
like,1,4,likes,,,,1
like,1,5,liked,,,,1
like,1,6,liking,,,,1
,1,4,want,want.png,want,,1
want,1,4,want,,,,1
want,1,5,wants,,,,1
want,1,6,wanted,,,,1
want,1,7,wanting,,,,1
,1,5,get,get.png,get,,1
get,1,5,get,,,,1
get,1,6,gets,,,,1
get,1,7,got,,,,1
get,1,8,getting,,,,1
,1,6,make,make.png,make,,1
make,1,6,make,,,,1
make ,1,7,makes,,,,1
make ,1,8,made,,,,1
make ,1,9,making,,,,1
,1,7,good,good.png,,,
,1,8,more,more.png,,,
,1,9,Things,things.png,things,,
,1,10,People,,people,,
,2,1,you,you.png,,,
,2,2,it,it.png,,,
,2,3,not,not.png,,,
,2,4,go,go.png,go,,1
go,,,go,,,,1
go,,,goes,,,,1
go,,,went,,,,1
go,,,gone,,,,1
go,,,going,,,,1
,2,5,look,look.png,look,,1
look,,,look,,,,1
look,,,looks,,,,1
look,,,looked,,,,1
look,,,looking,,,,1
,2,6,turn,turn.png,turn,,1
turn,,,turn,,,,1
turn,,,turns,,,,1
turn,,,turned,,,,1
turn,,,turning,,,,1
,2,7,help,help.png,help,,1
help,,,help,,,,1
help,,,helps,,,,1
help,,,helped,,,,1
help,,,helping,,,,1
,2,8,different,different.png,,,
,2,10,Places,,places,,
,3,1,he,he.png,he,,1
he,,,he,,,,1
he,,,him,,,,1
he,,,his,,,,1
,3,2,she,she.png,she,,1
she,3,2,she,,,,1
she,3,3,her,,,,1
she,3,4,hers,,,,1
,3,4,think,think.png,think,,1
think,3,5,think,,,,1
think,3,6,thinks,,,,1
think,3,7,thought,,,,1
think,3,8,thinking,,,,1
,3,5,open,open.png,open,,1
open,3,6,open,,,,1
open,3,7,opens,,,,1
open,3,8,opened,,,,1
open,3,9,opening,,,,1
,3,6,do,do.png,do,,1
do,3,7,do,,,,1
do,3,8,does,,,,1
do,3,9,did,,,,1
do,3,10,done,,,,1
,3,7,put,put.png,put,,1
put,3,8,put,,,,1
put,3,9,puts,,,,1
put,3,10,putting,,,,1
,3,8,same,same.png,,,
,3,10,Describe,,describe,,
,4,1,we,we.png,,,
,4,2,they,they.png,,,
,4,5,that,that.png,,,
,4,6,up,up.png,,,
,4,7,all,all.png,,,
,4,8,some,some.png,,,
,5,3,Wh-,wh.png,wh-,,
,5,4,here,here.png,,,
,5,5,in,in.png,,,
,5,6,on,on.png,,,
,5,7,can,can.png,,,
,5,8,finished,finished.png,,,
,5,9,stop,stop.png,stop,,1
stop,5,9,stop,,,,1
stop,5,8,stops,,,,1
stop,5,7,stopped,,,,1
stop,5,6,stopping,,,,1
,6,1,Keyboard,kb.png,kb,,
,6,2,Numbers,num.png,num,,
people,1,1,Mom,,,,
people,1,2,Dad,,,,
people,1,3,James,,,,
people,1,4,Anita,,,,
people,1,5,Sally,,,,
people,1,6,Rebecca ,,,,
people,1,7,Bobby,,,,
places,1,1,UNC,unc.png,,youensee,
places,1,2,office,,,,
places,1,3,home,,,,
places,1,4,park,,,,
places,1,5,Harris Teeter,harris_teeter.png,,,
describe,1,1,red,,,,
describe,1,2,orange,,,,
describe,1,3,yellow,,,,
describe,1,4,green,,,,
describe,1,5,blue,,,,
describe,1,6,pink,,,,
