tags_0,tags_1,message,x,y,w,h,invisible,image
keyboard,U,Win,76.67,80.0,6.67,20.0,0,
keyboard,U,Menu,83.33,80.0,6.67,20.0,0,
keyboard,U,Ctrl,90.0,80.0,10.0,20.0,0,
keyboard,L,Ctrl,0,80.0,10.0,20.0,0,
keyboard,L,Win,10.0,80.0,6.67,20.0,0,
keyboard,L,Alt,16.67,80.0,10.0,20.0,0,
keyboard,L, ,26.67,80.0,40.0,20.0,0,
keyboard,L,Alt,66.67,80.0,10.0,20.0,0,
keyboard,L,Win,76.67,80.0,6.67,20.0,0,
keyboard,L,Menu,83.33,80.0,6.67,20.0,0,
keyboard,L,Ctrl,90.0,80.0,10.0,20.0,0,
