sys	r	g	b	name
bang-v2	78	89	0	146 Deep apple green
bang-v2	248	255	226	147 Very pale lime green
bang-v2	240	255	194	148 Pale lime green
bang-v2	231	255	158	149 Very light lime green
bang-v2	216	255	101	150 Light brilliant lime green
bang-v2	191	255	0	151 Luminous vivid lime green
bang-v2	220	231	184	152 Pale, light grayish lime green
bang-v2	208	231	139	153 Light lime green
bang-v2	194	231	81	154 Brilliant lime green
bang-v2	174	231	0	155 Vivid lime green
bang-v2	158	168	125	156 Grayish lime green
bang-v2	145	168	74	157 Moderate lime green
bang-v2	126	168	0	158 Strong lime green
bang-v2	84	89	66	159 Dark grayish lime green
bang-v2	77	89	39	160 Dark lime green
bang-v2	67	89	0	161 Deep lime green
bang-v2	232	255	194	162 Pale spring bud
bang-v2	219	255	158	163 Very light spring bud
bang-v2	197	255	101	164 Light brilliant spring bud
bang-v2	159	255	0	165 Luminous vivid spring bud
bang-v2	197	231	139	166 Light spring bud
bang-v2	175	231	81	167 Brilliant spring bud
bang-v2	145	231	0	168 Vivid spring bud
bang-v2	133	168	74	169 Moderate spring bud
bang-v2	105	168	0	170 Strong spring bud
bang-v2	70	89	39	171 Dark spring bud
bang-v2	56	89	0	172 Deep spring bud
bang-v2	240	255	226	173 Very pale chartreuse green
bang-v2	224	255	194	174 Pale chartreuse green
bang-v2	207	255	158	175 Very light chartreuse green
bang-v2	178	255	101	176 Light brilliant chartreuse green
bang-v2	128	255	0	177 Luminous vivid chartreuse green
bang-v2	208	231	184	178 Pale, light grayish chartreuse green
bang-v2	185	231	139	179 Light chartreuse green
bang-v2	156	231	81	180 Brilliant chartreuse green
bang-v2	116	231	0	181 Vivid chartreuse green
bang-v2	147	168	125	182 Grayish chartreuse green
bang-v2	121	168	74	183 Moderate chartreuse green
bang-v2	84	168	0	184 Strong chartreuse green
bang-v2	78	89	66	185 Dark grayish chartreuse green
bang-v2	64	89	39	186 Dark chartreuse green
bang-v2	45	89	0	187 Deep chartreuse green
bang-v2	23	29	17	188 Very dark chartreuse green
bang-v2	14	29	0	189 Very deep chartreuse green
bang-v2	217	255	194	190 Pale pistachio
bang-v2	194	255	158	191 Very light pistachio
bang-v2	159	255	101	192 Light brilliant pistachio
bang-v2	96	255	0	193 Luminous vivid pistachio
bang-v2	174	231	139	194 Light pistachio
bang-v2	137	231	81	195 Brilliant pistachio
bang-v2	87	231	0	196 Vivid pistachio
bang-v2	109	168	74	197 Moderate pistachio
bang-v2	63	168	0	198 Strong pistachio
bang-v2	58	89	39	199 Dark pistachio
bang-v2	33	89	0	200 Deep pistachio
bang-v2	233	255	226	201 Very pale harlequin
bang-v2	209	255	194	202 Pale harlequin
bang-v2	182	255	158	203 Very light harlequin
bang-v2	139	255	101	204 Light brilliant harlequin
bang-v2	64	255	0	205 Luminous vivid harlequin
bang-v2	196	231	184	206 Pale, light grayish harlequin
bang-v2	162	231	139	207 Light harlequin
bang-v2	119	231	81	208 Brilliant harlequin
bang-v2	58	231	0	209 Vivid harlequin
bang-v2	136	168	125	210 Grayish harlequin
bang-v2	97	168	74	211 Moderate harlequin
bang-v2	42	168	0	212 Strong harlequin
bang-v2	72	89	66	213 Dark grayish harlequin
bang-v2	52	89	39	214 Dark harlequin
bang-v2	22	89	0	215 Deep harlequin
bang-v2	201	255	194	216 Pale sap green
bang-v2	170	255	158	217 Very light sap green
bang-v2	120	255	101	218 Light brilliant sap green
bang-v2	32	255	0	219 Luminous vivid sap green
bang-v2	150	231	139	220 Light sap green
bang-v2	100	231	81	221 Brilliant sap green
bang-v2	29	231	0	222 Vivid sap green
bang-v2	85	168	74	223 Moderate sap green
bang-v2	21	168	0	224 Strong sap green
bang-v2	45	89	39	225 Dark sap green
bang-v2	11	89	0	226 Deep sap green
bang-v2	246	255	246	227 Greenish white
bang-v2	226	255	226	228 Very pale green
bang-v2	194	255	194	229 Pale green
bang-v2	158	255	158	230 Very light green
bang-v2	101	255	101	231 Light brilliant green
bang-v2	0	255	0	232 Luminous vivid green
bang-v2	218	231	218	233 Light greenish gray
bang-v2	184	231	184	234 Pale, light grayish green
bang-v2	139	231	139	235 Light green
bang-v2	81	231	81	236 Brilliant green
bang-v2	0	231	0	237 Vivid green
bang-v2	156	168	156	238 Greenish gray
bang-v2	125	168	125	239 Grayish green
bang-v2	74	168	74	240 Moderate green
bang-v2	0	168	0	241 Strong green
bang-v2	83	89	83	242 Dark greenish gray
bang-v2	66	89	66	243 Dark grayish green
bang-v2	39	89	39	244 Dark green
bang-v2	0	89	0	245 Deep green
bang-v2	26	29	26	246 Greenish black
bang-v2	17	29	17	247 Very dark green
bang-v2	0	29	0	248 Very deep green
bang-v2	194	255	201	249 Pale emerald green
bang-v2	158	255	170	250 Very light emerald green
bang-v2	101	255	120	251 Light brilliant emerald green
bang-v2	0	255	32	252 Luminous vivid emerald green
bang-v2	139	231	150	253 Light emerald green
bang-v2	81	231	100	254 Brilliant emerald green
bang-v2	0	231	29	255 Vivid emerald green
bang-v2	74	168	85	256 Moderate emerald green
bang-v2	0	168	21	257 Strong emerald green
bang-v2	39	89	45	258 Dark emerald green
bang-v2	0	89	11	259 Deep emerald green
bang-v2	226	255	233	260 Very pale malachite green
bang-v2	194	255	209	261 Pale malachite green
bang-v2	158	255	182	262 Very light malachite green
bang-v2	101	255	139	263 Light brilliant malachite green
bang-v2	0	255	64	264 Luminous vivid malachite green
bang-v2	184	231	196	265 Pale, light grayish malachite green
bang-v2	139	231	162	266 Light malachite green
bang-v2	81	231	119	267 Brilliant malachite green
bang-v2	0	231	58	268 Vivid malachite green
bang-v2	125	168	136	269 Grayish malachite green
bang-v2	74	168	97	270 Moderate malachite green
bang-v2	0	168	42	271 Strong malachite green
bang-v2	66	89	72	272 Dark grayish malachite green
bang-v2	39	89	52	273 Dark malachite green
bang-v2	0	89	22	274 Deep malachite green
bang-v2	194	255	217	275 Pale sea green
bang-v2	158	255	194	276 Very light sea green
bang-v2	101	255	159	277 Light brilliant sea green
bang-v2	0	255	96	278 Luminous vivid sea green
bang-v2	139	231	174	279 Light sea green
bang-v2	81	231	137	280 Brilliant sea green
bang-v2	0	231	87	281 Vivid sea green
bang-v2	74	168	109	282 Moderate sea green
bang-v2	0	168	63	283 Strong sea green
bang-v2	39	89	58	284 Dark sea green
bang-v2	0	89	33	285 Deep sea green
bang-v2	226	255	240	286 Very pale spring green
bang-v2	194	255	224	287 Pale spring green
bang-v2	158	255	207	288 Very light spring green
bang-v2	101	255	178	289 Light brilliant spring green
bang-v2	0	255	128	290 Luminous vivid spring green
bang-v2	184	231	208	291 Pale, light grayish spring green
bang-v2	139	231	185	292 Light spring green
bang-v2	81	231	156	293 Brilliant spring green
bang-v2	0	231	116	294 Vivid spring green
bang-v2	125	168	147	295 Grayish spring green
bang-v2	74	168	121	296 Moderate spring green
bang-v2	0	168	84	297 Strong spring green
bang-v2	66	89	78	298 Dark grayish spring green
bang-v2	39	89	64	299 Dark spring green
bang-v2	0	89	45	300 Deep spring green
bang-v2	17	29	23	301 Very dark spring green
bang-v2	0	29	14	302 Very deep spring green
bang-v2	194	255	232	303 Pale aquamarine
bang-v2	158	255	219	304 Very light aquamarine
bang-v2	101	255	197	305 Light brilliant aquamarine
bang-v2	0	255	159	306 Luminous vivid aquamarine
bang-v2	139	231	197	307 Light aquamarine
bang-v2	81	231	175	308 Brilliant aquamarine
bang-v2	0	231	145	309 Vivid aquamarine
bang-v2	74	168	133	310 Moderate aquamarine
bang-v2	0	168	105	311 Strong aquamarine
bang-v2	39	89	70	312 Dark aquamarine
bang-v2	0	89	56	313 Deep aquamarine
bang-v2	226	255	248	314 Very pale turquoise
bang-v2	194	255	240	315 Pale turquoise
bang-v2	158	255	231	316 Very light turquoise
bang-v2	101	255	216	317 Light brilliant turquoise
bang-v2	0	255	191	318 Luminous vivid turquoise
bang-v2	184	231	220	319 Pale, light grayish turquoise
bang-v2	139	231	208	320 Light turquoise
bang-v2	81	231	194	321 Brilliant turquoise
bang-v2	0	231	174	322 Vivid turquoise
bang-v2	125	168	158	323 Grayish turquoise
bang-v2	74	168	145	324 Moderate turquoise
bang-v2	0	168	126	325 Strong turquoise
bang-v2	66	89	84	326 Dark grayish turquoise
bang-v2	39	89	77	327 Dark turquoise
bang-v2	0	89	67	328 Deep turquoise
bang-v2	194	255	247	329 Pale opal
bang-v2	158	255	243	330 Very light opal
bang-v2	101	255	236	331 Light brilliant opal
bang-v2	0	255	223	332 Luminous vivid opal
bang-v2	139	231	220	333 Light opal
bang-v2	81	231	213	334 Brilliant opal
bang-v2	0	231	202	335 Vivid opal
bang-v2	74	168	156	336 Moderate opal
bang-v2	0	168	147	337 Strong opal
bang-v2	39	89	83	338 Dark opal
bang-v2	0	89	78	339 Deep opal
bang-v2	246	255	255	340 Cyanish white
bang-v2	226	255	255	341 Very pale cyan
bang-v2	194	255	255	342 Pale cyan
bang-v2	158	255	255	343 Very light cyan
bang-v2	101	255	255	344 Light brilliant cyan
bang-v2	0	255	255	345 Luminous vivid cyan
bang-v2	218	231	231	346 Light cyanish gray
bang-v2	184	231	231	347 Pale, light grayish cyan
bang-v2	139	231	231	348 Light cyan
bang-v2	81	231	231	349 Brilliant cyan
bang-v2	0	231	231	350 Vivid cyan
bang-v2	156	168	168	351 Cyanish gray
bang-v2	125	168	168	352 Grayish cyan
bang-v2	74	168	168	353 Moderate cyan
bang-v2	0	168	168	354 Strong cyan
bang-v2	83	89	89	355 Dark cyanish gray
