sys	r	g	b	name
bang-v2	255	0	159	617 Luminous vivid cerise
bang-v2	231	139	197	618 Light cerise
bang-v2	231	81	175	619 Brilliant cerise
bang-v2	231	0	145	620 Vivid cerise
bang-v2	168	74	133	621 Moderate cerise
bang-v2	168	0	105	622 Strong cerise
bang-v2	89	39	70	623 Dark cerise
bang-v2	89	0	56	624 Deep cerise
bang-v2	255	226	240	625 Very pale rose
bang-v2	255	194	224	626 Pale rose
bang-v2	255	158	207	627 Very light rose
bang-v2	255	101	178	628 Light brilliant rose
bang-v2	255	0	128	629 Luminous vivid rose
bang-v2	231	184	208	630 Pale, light grayish rose
bang-v2	231	139	185	631 Light rose
bang-v2	231	81	156	632 Brilliant rose
bang-v2	231	0	116	633 Vivid rose
bang-v2	168	125	147	634 Grayish rose
bang-v2	168	74	121	635 Moderate rose
bang-v2	168	0	84	636 Strong rose
bang-v2	89	66	78	637 Dark grayish rose
bang-v2	89	39	64	638 Dark rose
bang-v2	89	0	45	639 Deep rose
bang-v2	29	17	23	640 Very dark rose
bang-v2	29	0	14	641 Very deep rose
bang-v2	255	194	217	642 Pale raspberry
bang-v2	255	158	194	643 Very light raspberry
bang-v2	255	101	159	644 Light brilliant raspberry
bang-v2	255	0	96	645 Luminous vivid raspberry
bang-v2	231	139	174	646 Light raspberry
bang-v2	231	81	137	647 Brilliant raspberry
bang-v2	231	0	87	648 Vivid raspberry
bang-v2	168	74	109	649 Moderate raspberry
bang-v2	168	0	63	650 Strong raspberry
bang-v2	89	39	58	651 Dark raspberry
bang-v2	89	0	33	652 Deep raspberry
bang-v2	255	226	233	653 Very pale crimson
bang-v2	255	194	209	654 Pale crimson
bang-v2	255	158	182	655 Very light crimson
bang-v2	255	101	139	656 Light brilliant crimson
bang-v2	255	0	64	657 Luminous vivid crimson
bang-v2	231	184	196	658 Pale, light grayish crimson
bang-v2	231	139	162	659 Light crimson
bang-v2	231	81	119	660 Brilliant crimson
bang-v2	231	0	58	661 Vivid crimson
bang-v2	168	125	136	662 Grayish crimson
bang-v2	168	74	97	663 Moderate crimson
bang-v2	168	0	42	664 Strong crimson
bang-v2	89	66	72	665 Dark grayish crimson
bang-v2	89	39	52	666 Dark crimson
bang-v2	89	0	22	667 Deep crimson
bang-v2	255	194	201	668 Pale amaranth
bang-v2	255	158	170	669 Very light amaranth
bang-v2	255	101	120	670 Light brilliant amaranth
bang-v2	255	0	32	671 Luminous vivid amaranth
bang-v2	231	139	150	672 Light amaranth
bang-v2	231	81	100	673 Brilliant amaranth
bang-v2	231	0	29	674 Vivid amaranth
bang-v2	168	74	85	675 Moderate amaranth
bang-v2	168	0	21	676 Strong amaranth
bang-v2	89	39	45	677 Dark amaranth
bang-v2	89	0	11	678 Deep amaranth	
